,Strategy,Application,Module,Device,Instances,Delay,Network,EnergyConsumption,DeviceMaxCPU,DeviceCPUUsage,ModuleMIPS,ModuleRAM,TupleCpuLength,SEED,UplinkBandwidth,DownlinkBandwidth,UplinkLatency,TupleNwLength,DeviceLevel,Simulation,Rate,ModuleCpuLoad
2864,CB-E,Translation_Service,storageModule,d-1-0,5,0.0,2229.0,10578.89,2000.0,1955.57,1000,10,1029.25,1145661099,10000.0,10000.0,25.0,1000.0,1,6,0.1,102.925
3702,MGA,Translation_Service,processingModule,d-0,2,76.26,5406.25,2708.18,4000.0,978.11,2500,10,3803.77,1282538739,10000.0,10000.0,50.0,500.0,1,2,0.1,380.377
3561,MGA,DCNS,object_detector,cloud,11,178.16,620066.4,68661.21,44800.0,18081.51,550,10,2173.58,1282538739,100.0,10000.0,0.0,2000.0,0,11,0.5,1086.79
144,ELSA,VRGame,connector,d-1-0,10,0.0,34334.75,5577.64,2000.0,1023.71,100,10,1089.05,633816299,10000.0,10000.0,25.0,1000.0,1,10,0.01,10.8905
3454,MGA,DCNS,user_interface,cloud,10,0.0,556386.5,53943.61,44800.0,13926.73,200,10,460.39,794161987,100.0,10000.0,0.0,2000.0,0,10,0.025,11.50975
1434,Edgewards,Translation_Service,processingModule,d-1-0,2,27.8,583.0,5112.74,2000.0,937.09,2500,10,3644.23,1410143363,10000.0,10000.0,25.0,500.0,1,2,0.1,364.423
857,ELSA,VRGame,concentration_calculator,d-0,7,77.31,21990.75,1870.04,4000.0,682.74,350,10,3792.99,1329531353,10000.0,10000.0,50.0,500.0,1,7,0.06,227.5794
4186,MGA,Translation_Service,processingModule,cloud,9,374.8,149317.5,15746.43,44800.0,4216.9,2500,10,3644.23,1410143363,100.0,10000.0,0.0,500.0,0,9,0.1,364.423
3010,CB-E,DCNS,user_interface,cloud,7,0.0,8098.85,16870.49,44800.0,4224.06,200,10,460.39,794161987,100.0,10000.0,0.0,2000.0,0,7,0.025,11.50975
2795,CB-E,DCNS,object_detector,d-1-0,1,465.59,9130.25,8850.78,2000.0,1633.58,550,10,2178.11,633816299,10000.0,10000.0,25.0,2000.0,1,5,0.5,1089.055
785,ELSA,VRGame,concentration_calculator,d-0,6,76.64,19295.75,1265.55,4000.0,457.4,350,10,3811.69,633816299,10000.0,10000.0,50.0,500.0,1,6,0.06,228.7014
3132,CB-E,DCNS,object_detector,d-1-0,1,668.83,10400.65,9865.94,2000.0,1822.73,550,10,1822.73,1835732737,10000.0,10000.0,25.0,2000.0,1,8,0.5,911.365
2348,CB-E,DCNS,object_tracker,d-0,2,455.27,8907.85,9966.94,4000.0,3683.1,300,10,920.78,794161987,10000.0,10000.0,50.0,100.0,1,12,0.5,460.39
2214,CB-E,VRGame,concentration_calculator,d-0,3,458.2,4509.0,1915.54,4000.0,682.74,350,10,3792.99,1329531353,10000.0,10000.0,50.0,500.0,1,11,0.06,227.5794
509,ELSA,Translation_Service,storageModule,d-0,3,0.0,8206.5,4009.39,4000.0,1463.01,1000,10,1083.71,1329531353,10000.0,10000.0,50.0,1000.0,1,3,0.1,108.371
1268,Edgewards,VRGame,concentration_calculator,d-0,11,82.3,22904.25,7097.24,4000.0,2622.58,350,10,3792.99,1329531353,10000.0,10000.0,50.0,500.0,1,11,0.06,227.5794
3955,MGA,Translation_Service,storageModule,d-0,6,0.0,17745.0,7935.34,4000.0,2926.02,1000,10,1083.71,1329531353,10000.0,10000.0,50.0,1000.0,1,6,0.1,108.371
2213,CB-E,Translation_Service,storageModule,d-1-0,4,0.0,3195.0,10708.21,2000.0,1979.67,1000,10,920.78,794161987,10000.0,10000.0,25.0,1000.0,1,11,0.1,92.078
3915,MGA,VRGame,connector,d-0,6,0.0,11286.75,3871.99,4000.0,1411.81,100,10,1069.55,428956419,10000.0,10000.0,50.0,1000.0,1,6,0.01,10.6955
625,ELSA,DCNS,user_interface,cloud,4,0.0,44059.65,11526.5,44800.0,2771.32,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,4,0.025,13.585
3811,MGA,DCNS,user_interface,cloud,4,0.0,222358.1,26263.17,44800.0,6556.45,200,10,541.86,1329531353,100.0,10000.0,0.0,2000.0,0,4,0.025,13.546500000000002
3957,MGA,VRGame,connector,d-0,6,0.0,11263.0,3725.45,4000.0,1357.2,100,10,1028.18,200496737,10000.0,10000.0,50.0,1000.0,1,6,0.01,10.2818
1213,Edgewards,VRGame,connector,d-0,10,0.0,20783.25,6489.29,4000.0,2395.92,100,10,1089.05,633816299,10000.0,10000.0,50.0,1000.0,1,10,0.01,10.8905
3122,CB-E,Translation_Service,storageModule,d-0,3,0.0,2552.0,4778.77,4000.0,1749.72,1000,10,1029.25,1145661099,10000.0,10000.0,50.0,1000.0,1,8,0.1,102.925
