,Strategy,Application,Module,Device,Instances,Delay,Network,EnergyConsumption,DeviceMaxCPU,DeviceCPUUsage,ModuleMIPS,ModuleRAM,TupleCpuLength,SEED,UplinkBandwidth,DownlinkBandwidth,UplinkLatency,TupleNwLength,DeviceLevel,Simulation,Rate,ModuleCpuLoad
2608,CB-E,DCNS,object_tracker,d-0,3,123.48,9269.35,10128.84,4000.0,3743.43,300,10,1069.55,428956419,10000.0,10000.0,50.0,100.0,1,4,0.5,534.775
2885,CB-E,DCNS,object_detector,d-1-0,1,511.8,10972.05,9966.94,2000.0,1841.55,550,10,1841.55,794161987,10000.0,10000.0,25.0,2000.0,1,6,0.5,920.775
1066,ELSA,DCNS,object_detector,d-0,2,429.37,87636.9,10312.0,4000.0,3811.69,550,10,2178.11,633816299,10000.0,10000.0,50.0,2000.0,1,9,0.5,1089.055
25,ELSA,DCNS,object_tracker,d-0,1,27.14,10848.7,3751.87,4000.0,1367.05,300,10,911.37,1835732737,10000.0,10000.0,50.0,100.0,1,1,0.5,455.685
3139,CB-E,VRGame,connector,d-1-0,8,0.0,4471.5,8780.92,2000.0,1620.56,100,10,920.78,794161987,10000.0,10000.0,25.0,1000.0,1,8,0.01,9.2078
3653,MGA,Translation_Service,processingModule,d-0,2,75.28,5216.5,2569.2,4000.0,926.32,2500,10,3602.37,1145661099,10000.0,10000.0,50.0,500.0,1,2,0.1,360.237
489,ELSA,DCNS,object_tracker,cloud,1,64.3,33213.8,3133.98,44800.0,489.86,300,10,911.37,1835732737,100.0,10000.0,0.0,100.0,0,3,0.5,455.685
1305,Edgewards,DCNS,user_interface,cloud,12,0.0,662237.3,73543.97,44800.0,19412.38,200,10,534.78,428956419,100.0,10000.0,0.0,2000.0,0,12,0.025,13.3695
2039,CB-E,DCNS,object_detector,d-1-0,1,803.17,9454.25,8369.32,2000.0,1543.87,550,10,2058.5,1145661099,10000.0,10000.0,25.0,2000.0,1,10,0.5,1029.25
530,ELSA,DCNS,object_detector,d-0,2,28.81,32532.6,9862.64,4000.0,3644.23,550,10,2082.42,1410143363,10000.0,10000.0,50.0,2000.0,1,3,0.5,1041.21
485,ELSA,Translation_Service,storageModule,d-0,3,0.0,8084.75,3812.08,4000.0,1389.48,1000,10,1029.25,1145661099,10000.0,10000.0,50.0,1000.0,1,3,0.1,102.925
2371,CB-E,VRGame,connector,d-1-0,12,0.0,4822.5,10016.2,2000.0,1850.73,100,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,12,0.01,10.2818
3696,MGA,Translation_Service,storageModule,d-0,2,0.0,5424.5,2598.09,4000.0,937.09,1000,10,1041.21,1410143363,10000.0,10000.0,50.0,1000.0,1,2,0.1,104.121
2395,CB-E,Translation_Service,processingModule,d-1-0,4,907.85,2523.0,10604.25,2000.0,1960.3,2500,10,3811.69,633816299,10000.0,10000.0,25.0,500.0,1,12,0.1,381.169
3620,MGA,VRGame,concentration_calculator,d-0,12,84.61,26210.25,7459.75,4000.0,2748.79,350,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,12,0.06,218.6538
2200,CB-E,VRGame,concentration_calculator,d-0,2,361.37,5779.5,1121.2,4000.0,386.73,350,10,3222.71,794161987,10000.0,10000.0,50.0,500.0,1,11,0.06,193.3626
300,ELSA,DCNS,object_tracker,d-0,3,381.79,110070.45,10147.62,4000.0,3750.43,300,10,1071.55,1954324947,10000.0,10000.0,50.0,100.0,1,12,0.5,535.775
2406,CB-E,DCNS,object_tracker,d-1-0,1,462.54,7393.85,8465.61,2000.0,1561.81,300,10,1041.21,1410143363,10000.0,10000.0,25.0,100.0,1,12,0.5,520.605
989,ELSA,DCNS,object_tracker,d-0,3,224.82,81333.05,10290.76,4000.0,3803.77,300,10,1086.79,1282538739,10000.0,10000.0,50.0,100.0,1,8,0.5,543.395
4109,MGA,Translation_Service,storageModule,d-0,8,0.0,21750.25,10604.25,4000.0,3920.59,1000,10,1089.05,633816299,10000.0,10000.0,50.0,1000.0,1,8,0.1,108.905
2481,CB-E,DCNS,object_tracker,d-0,1,9.22,6575.55,4222.09,4000.0,1542.27,300,10,1028.18,200496737,10000.0,10000.0,50.0,100.0,1,2,0.5,514.09
1894,Edgewards,DCNS,object_tracker,cloud,9,177.54,500786.6,48820.57,44800.0,12534.05,300,10,920.78,794161987,100.0,10000.0,0.0,100.0,0,9,0.5,460.39
3536,MGA,VRGame,concentration_calculator,d-0,11,81.25,23220.25,6760.46,4000.0,2488.2,350,10,3598.64,200496737,10000.0,10000.0,50.0,500.0,1,11,0.06,215.9184
2364,CB-E,DCNS,object_tracker,d-1-0,1,473.51,8995.85,8807.77,2000.0,1625.57,300,10,1083.71,1329531353,10000.0,10000.0,25.0,100.0,1,12,0.5,541.855
833,ELSA,DCNS,object_detector,cloud,5,133.86,74057.2,28166.42,44800.0,7294.79,550,10,2058.5,1145661099,100.0,10000.0,0.0,2000.0,0,7,0.5,1029.25
4143,MGA,Translation_Service,storageModule,cloud,9,0.0,144708.25,15565.54,44800.0,4168.45,1000,10,1029.25,1145661099,100.0,10000.0,0.0,1000.0,0,9,0.1,102.925
2316,CB-E,DCNS,object_detector,cloud,9,860.33,8072.85,51120.03,44800.0,13534.61,550,10,2058.5,1145661099,100.0,10000.0,0.0,2000.0,0,12,0.5,1029.25
1174,Edgewards,DCNS,object_detector,cloud,10,178.06,559931.5,61755.09,44800.0,16207.22,550,10,2143.1,1954324947,100.0,10000.0,0.0,2000.0,0,10,0.5,1071.55
264,ELSA,DCNS,object_detector,cloud,9,545.62,103378.6,51650.77,44800.0,13678.89,550,10,2082.42,1410143363,100.0,10000.0,0.0,2000.0,0,11,0.5,1041.21
4048,MGA,VRGame,connector,d-0,7,0.0,13486.5,4574.66,4000.0,1673.66,100,10,1086.79,1282538739,10000.0,10000.0,50.0,1000.0,1,7,0.01,10.8679
4190,MGA,DCNS,object_tracker,cloud,9,177.55,507556.6,56567.74,44800.0,14793.96,300,10,1086.79,1282538739,100.0,10000.0,0.0,100.0,0,9,0.5,543.395
2654,CB-E,DCNS,object_detector,cloud,1,246.59,6948.35,5517.84,44800.0,1137.9,550,10,2167.42,1329531353,100.0,10000.0,0.0,2000.0,0,4,0.5,1083.71
2624,CB-E,VRGame,connector,d-1-0,4,0.0,1194.5,4944.48,2000.0,905.74,100,10,1029.25,1145661099,10000.0,10000.0,25.0,1000.0,1,4,0.01,10.2925
3314,CB-E,VRGame,connector,d-1-0,9,0.0,4372.0,10428.9,2000.0,1927.63,100,10,1089.05,633816299,10000.0,10000.0,25.0,1000.0,1,9,0.01,10.8905
3275,CB-E,DCNS,object_tracker,cloud,5,419.97,10127.45,27116.58,44800.0,7009.4,300,10,920.78,794161987,100.0,10000.0,0.0,100.0,0,9,0.5,460.39
3185,CB-E,DCNS,object_tracker,d-1-0,1,414.84,8116.65,8850.78,2000.0,1633.58,300,10,1089.05,633816299,10000.0,10000.0,25.0,100.0,1,8,0.5,544.525
3141,CB-E,DCNS,object_detector,cloud,4,715.43,9025.65,21993.54,44800.0,5616.73,550,10,1841.55,794161987,100.0,10000.0,0.0,2000.0,0,8,0.5,920.775
464,ELSA,DCNS,user_interface,cloud,3,0.0,31142.6,5413.97,44800.0,1109.66,200,10,534.78,428956419,100.0,10000.0,0.0,2000.0,0,3,0.025,13.3695
2670,CB-E,Translation_Service,storageModule,d-1-0,4,0.0,1774.0,10016.2,2000.0,1850.73,1000,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,4,0.1,102.818
4049,MGA,DCNS,user_interface,cloud,7,0.0,394996.8,44474.26,44800.0,11506.41,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,7,0.025,13.585
3438,MGA,VRGame,concentration_calculator,d-0,10,80.03,20469.75,6159.75,4000.0,2264.35,350,10,3602.37,1145661099,10000.0,10000.0,50.0,500.0,1,10,0.06,216.1422
488,ELSA,DCNS,user_interface,cloud,3,0.0,33213.8,3133.98,44800.0,489.86,200,10,455.68,1835732737,100.0,10000.0,0.0,2000.0,0,3,0.025,11.392
440,ELSA,Translation_Service,storageModule,d-0,2,0.0,5270.5,2566.63,4000.0,925.36,1000,10,1028.18,200496737,10000.0,10000.0,50.0,1000.0,1,2,0.1,102.818
3576,MGA,Translation_Service,storageModule,cloud,12,0.0,204491.0,21526.71,44800.0,5786.38,1000,10,1071.55,1954324947,100.0,10000.0,0.0,1000.0,0,12,0.1,107.155
4040,MGA,VRGame,concentration_calculator,d-0,7,76.78,13647.0,4386.28,4000.0,1603.46,350,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,7,0.06,218.6538
603,ELSA,Translation_Service,processingModule,d-0,4,77.53,11250.25,5049.82,4000.0,1850.73,2500,10,3598.64,200496737,10000.0,10000.0,50.0,500.0,1,4,0.1,359.86400000000003
2085,CB-E,Translation_Service,processingModule,d-1-0,4,812.01,2605.0,10552.64,2000.0,1950.68,2500,10,3792.99,1329531353,10000.0,10000.0,25.0,500.0,1,10,0.1,379.299
2108,CB-E,DCNS,object_tracker,d-0,3,445.2,7324.25,10312.0,4000.0,3811.69,300,10,1089.05,633816299,10000.0,10000.0,50.0,100.0,1,10,0.5,544.525
4138,MGA,VRGame,concentration_calculator,d-0,9,78.48,17989.0,5552.12,4000.0,2037.91,350,10,3602.37,1145661099,10000.0,10000.0,50.0,500.0,1,9,0.06,216.1422
2175,CB-E,DCNS,object_detector,cloud,8,832.36,7126.05,45393.46,44800.0,11977.87,550,10,2058.5,1145661099,100.0,10000.0,0.0,2000.0,0,11,0.5,1029.25
1447,Edgewards,DCNS,object_detector,cloud,3,177.35,165681.2,19986.62,44800.0,4853.09,550,10,2139.1,428956419,100.0,10000.0,0.0,2000.0,0,3,0.5,1069.55
2596,CB-E,DCNS,user_interface,cloud,3,0.0,8016.45,1481.92,44800.0,40.75,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,3,0.025,13.585
3342,CB-E,VRGame,connector,d-1-0,9,0.0,4361.5,10407.42,2000.0,1923.62,100,10,1086.79,1282538739,10000.0,10000.0,25.0,1000.0,1,9,0.01,10.8679
3594,MGA,DCNS,user_interface,cloud,12,0.0,667586.3,64189.7,44800.0,16712.07,200,10,460.39,794161987,100.0,10000.0,0.0,2000.0,0,12,0.025,11.50975
1963,CB-E,DCNS,user_interface,cloud,1,0.0,4349.95,1374.34,44800.0,11.51,200,10,460.39,794161987,100.0,10000.0,0.0,2000.0,0,1,0.025,11.50975
2346,CB-E,DCNS,object_tracker,cloud,8,455.27,8907.85,42485.72,44800.0,11187.42,300,10,920.78,794161987,100.0,10000.0,0.0,100.0,0,12,0.5,460.39
2100,CB-E,Translation_Service,storageModule,d-1-0,5,0.0,2694.0,10568.02,2000.0,1953.55,1000,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,10,0.1,102.818
1052,ELSA,VRGame,connector,d-1-0,9,0.0,29879.75,5215.36,2000.0,956.21,100,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,9,0.01,10.2818
2479,CB-E,DCNS,user_interface,cloud,2,0.0,6575.55,1426.56,44800.0,25.7,200,10,514.09,200496737,100.0,10000.0,0.0,2000.0,0,2,0.025,12.852250000000002
2806,CB-E,DCNS,object_detector,d-0,2,447.04,11210.25,9862.64,4000.0,3644.23,550,10,2082.42,1410143363,10000.0,10000.0,50.0,2000.0,1,5,0.5,1041.21
1951,CB-E,DCNS,object_tracker,d-1-0,1,2.32,3719.95,8369.32,2000.0,1543.87,300,10,1029.25,1145661099,10000.0,10000.0,25.0,100.0,1,1,0.5,514.625
3355,MGA,VRGame,connector,d-0,1,0.0,1768.5,714.86,4000.0,235.3,100,10,1069.55,428956419,10000.0,10000.0,50.0,1000.0,1,1,0.01,10.6955
3982,MGA,Translation_Service,processingModule,d-0,6,102.05,18372.0,7957.66,4000.0,2934.34,2500,10,3803.77,1282538739,10000.0,10000.0,50.0,500.0,1,6,0.1,380.377
1092,ELSA,Translation_Service,storageModule,d-0,8,0.0,23492.0,10582.4,4000.0,3912.45,1000,10,1086.79,1282538739,10000.0,10000.0,50.0,1000.0,1,9,0.1,108.679
76,ELSA,DCNS,object_tracker,d-0,3,296.91,95374.75,10128.84,4000.0,3743.43,300,10,1069.55,428956419,10000.0,10000.0,50.0,100.0,1,10,0.5,534.775
1405,Edgewards,DCNS,object_detector,d-0,2,27.82,20023.65,7757.92,4000.0,2762.33,550,10,1841.55,794161987,10000.0,10000.0,50.0,2000.0,1,2,0.5,920.775
1972,CB-E,DCNS,object_tracker,d-1-0,1,3.18,3023.95,8807.77,2000.0,1625.57,300,10,1083.71,1329531353,10000.0,10000.0,25.0,100.0,1,1,0.5,541.855
3953,MGA,DCNS,object_detector,cloud,6,177.66,333455.9,38322.36,44800.0,9834.68,550,10,2167.42,1329531353,100.0,10000.0,0.0,2000.0,0,6,0.5,1083.71
4038,MGA,Translation_Service,processingModule,d-0,7,219.1,20191.0,9289.15,4000.0,3430.52,2500,10,3811.69,633816299,10000.0,10000.0,50.0,500.0,1,7,0.1,381.169
2210,CB-E,Translation_Service,storageModule,d-0,7,0.0,3195.0,7001.89,4000.0,2578.17,1000,10,920.78,794161987,10000.0,10000.0,50.0,1000.0,1,11,0.1,92.078
3974,MGA,DCNS,object_detector,cloud,6,177.66,337079.9,36871.63,44800.0,9448.97,550,10,2082.42,1410143363,100.0,10000.0,0.0,2000.0,0,6,0.5,1041.21
772,ELSA,DCNS,object_detector,d-0,2,63.82,65785.35,10261.83,4000.0,3792.99,550,10,2167.42,1329531353,10000.0,10000.0,50.0,2000.0,1,6,0.5,1083.71
2013,CB-E,Translation_Service,processingModule,d-0,6,773.0,2580.0,7832.75,4000.0,2887.79,2500,10,3743.43,428956419,10000.0,10000.0,50.0,500.0,1,10,0.1,374.343
2451,CB-E,Translation_Service,storageModule,d-1-0,2,0.0,562.0,5054.96,2000.0,926.32,1000,10,1029.25,1145661099,10000.0,10000.0,25.0,1000.0,1,2,0.1,102.925
3863,MGA,Translation_Service,processingModule,d-0,5,80.11,14335.0,6297.85,4000.0,2315.81,2500,10,3602.37,1145661099,10000.0,10000.0,50.0,500.0,1,5,0.1,360.237
3856,MGA,Translation_Service,processingModule,d-0,5,85.66,14943.75,6553.27,4000.0,2410.99,2500,10,3750.43,1954324947,10000.0,10000.0,50.0,500.0,1,5,0.1,375.043
1807,Edgewards,VRGame,concentration_calculator,d-1-0,8,59.95,4204.5,9805.54,2000.0,1811.48,350,10,3602.37,1145661099,10000.0,10000.0,25.0,500.0,1,8,0.06,216.1422
2233,CB-E,DCNS,object_tracker,cloud,7,458.75,7481.05,45347.86,44800.0,11965.48,300,10,1028.18,200496737,100.0,10000.0,0.0,100.0,0,11,0.5,514.09
2969,CB-E,VRGame,concentration_calculator,d-1-0,7,49.99,3447.0,8939.92,2000.0,1650.19,350,10,3750.43,1954324947,10000.0,10000.0,25.0,500.0,1,7,0.06,225.0258
2363,CB-E,DCNS,object_detector,d-1-0,1,880.16,8995.85,8807.77,2000.0,1625.57,550,10,2167.42,1329531353,10000.0,10000.0,25.0,2000.0,1,12,0.5,1083.71
2818,CB-E,DCNS,object_detector,d-0,2,502.36,9245.25,10290.76,4000.0,3803.77,550,10,2173.58,1282538739,10000.0,10000.0,50.0,2000.0,1,5,0.5,1086.79
3564,MGA,VRGame,concentration_calculator,d-0,12,85.13,26032.5,7660.54,4000.0,2823.62,350,10,3743.43,428956419,10000.0,10000.0,50.0,500.0,1,12,0.06,224.6058
165,ELSA,VRGame,connector,d-1-0,10,0.0,34652.5,5566.23,2000.0,1021.58,100,10,1086.79,1282538739,10000.0,10000.0,25.0,1000.0,1,10,0.01,10.8679
1410,Edgewards,DCNS,user_interface,cloud,2,0.0,21321.65,1431.66,44800.0,27.09,200,10,541.86,1329531353,100.0,10000.0,0.0,2000.0,0,2,0.025,13.546500000000002
1615,Edgewards,DCNS,object_detector,cloud,5,177.53,278287.0,28328.39,44800.0,6963.36,550,10,1841.55,794161987,100.0,10000.0,0.0,2000.0,0,5,0.5,920.775
4152,MGA,VRGame,concentration_calculator,d-0,9,77.16,19010.25,4975.77,4000.0,1823.13,350,10,3222.71,794161987,10000.0,10000.0,50.0,500.0,1,9,0.06,193.3626
3294,CB-E,Translation_Service,processingModule,d-0,5,777.3,2470.0,6626.69,4000.0,2438.35,2500,10,3792.99,1329531353,10000.0,10000.0,50.0,500.0,1,9,0.1,379.299
975,ELSA,VRGame,connector,d-1-0,8,0.0,26495.75,5224.5,2000.0,957.91,100,10,1041.21,1410143363,10000.0,10000.0,25.0,1000.0,1,8,0.01,10.4121
1503,Edgewards,DCNS,object_detector,cloud,3,177.35,168621.2,19492.27,44800.0,4724.49,550,10,2082.42,1410143363,100.0,10000.0,0.0,2000.0,0,3,0.5,1041.21
3608,MGA,DCNS,user_interface,cloud,12,0.0,667061.3,70750.86,44800.0,18661.52,200,10,514.09,200496737,100.0,10000.0,0.0,2000.0,0,12,0.025,12.852250000000002
225,ELSA,Translation_Service,processingModule,cloud,2,475.95,29978.75,3703.0,44800.0,644.54,2500,10,3222.71,794161987,100.0,10000.0,0.0,500.0,0,11,0.1,322.271
1747,Edgewards,DCNS,object_tracker,cloud,7,177.44,388836.8,38193.9,44800.0,9649.09,300,10,911.37,1835732737,100.0,10000.0,0.0,100.0,0,7,0.5,455.685
274,ELSA,DCNS,user_interface,cloud,11,0.0,105550.6,53853.67,44800.0,14277.73,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,11,0.025,13.585
498,ELSA,DCNS,object_detector,d-0,3,28.49,30763.8,9966.94,4000.0,3683.1,550,10,1841.55,794161987,10000.0,10000.0,50.0,2000.0,1,3,0.5,920.775
2206,CB-E,DCNS,object_detector,d-0,3,821.7,8481.05,9966.94,4000.0,3683.1,550,10,1841.55,794161987,10000.0,10000.0,50.0,2000.0,1,11,0.5,920.775
3414,MGA,DCNS,object_tracker,d-0,1,27.17,10076.7,4274.52,4000.0,1561.81,300,10,1041.21,1410143363,10000.0,10000.0,50.0,100.0,1,1,0.5,520.605
4088,MGA,Translation_Service,storageModule,d-0,8,0.0,25715.25,8978.59,4000.0,3314.79,1000,10,920.78,794161987,10000.0,10000.0,50.0,1000.0,1,8,0.1,92.078
3534,MGA,Translation_Service,storageModule,cloud,11,0.0,180355.0,19977.06,44800.0,5364.37,1000,10,1083.71,1329531353,100.0,10000.0,0.0,1000.0,0,11,0.1,108.371
1557,Edgewards,DCNS,user_interface,cloud,4,0.0,222462.1,24985.71,44800.0,6220.51,200,10,514.09,200496737,100.0,10000.0,0.0,2000.0,0,4,0.025,12.852250000000002
3684,MGA,VRGame,connector,d-0,2,0.0,3556.75,1369.31,4000.0,479.18,100,10,1089.05,633816299,10000.0,10000.0,50.0,1000.0,1,2,0.01,10.8905
1695,Edgewards,VRGame,concentration_calculator,d-1-0,6,34.96,2467.5,7367.46,2000.0,1357.2,350,10,3598.64,200496737,10000.0,10000.0,25.0,500.0,1,6,0.06,215.9184
1861,Edgewards,Translation_Service,storageModule,d-0,8,0.0,22286.0,10621.23,4000.0,3912.45,1000,10,1086.79,1282538739,10000.0,10000.0,50.0,1000.0,1,8,0.1,108.679
3667,MGA,Translation_Service,processingModule,d-0,2,74.28,5496.5,2307.22,4000.0,828.7,2500,10,3222.71,794161987,10000.0,10000.0,50.0,500.0,1,2,0.1,322.271
2125,CB-E,Translation_Service,processingModule,d-0,6,774.66,2627.0,7347.99,4000.0,2707.14,2500,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,10,0.1,364.423
370,ELSA,VRGame,concentration_calculator,d-0,12,83.09,42425.75,4730.46,4000.0,1749.23,350,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,12,0.06,218.6538
2136,CB-E,DCNS,object_tracker,d-0,3,453.19,8654.25,10290.76,4000.0,3803.77,300,10,1086.79,1282538739,10000.0,10000.0,50.0,100.0,1,10,0.5,543.395
2466,CB-E,Translation_Service,processingModule,d-1-0,2,26.06,594.0,4531.01,2000.0,828.7,2500,10,3222.71,794161987,10000.0,10000.0,25.0,500.0,1,2,0.1,322.271
1931,Edgewards,Translation_Service,storageModule,cloud,9,0.0,149830.5,16435.79,44800.0,4401.51,1000,10,1086.79,1282538739,100.0,10000.0,0.0,1000.0,0,9,0.1,108.679
2581,CB-E,DCNS,object_detector,d-1-0,1,25.74,8432.45,8850.78,2000.0,1633.58,550,10,2178.11,633816299,10000.0,10000.0,25.0,2000.0,1,3,0.5,1089.055
1520,Edgewards,VRGame,concentration_calculator,d-1-0,4,29.76,1267.5,5144.28,2000.0,942.97,350,10,3750.43,1954324947,10000.0,10000.0,25.0,500.0,1,4,0.06,225.0258
2337,CB-E,Translation_Service,storageModule,d-0,8,0.0,3419.5,8031.72,4000.0,2961.94,1000,10,911.37,1835732737,10000.0,10000.0,50.0,1000.0,1,12,0.1,91.137
570,ELSA,VRGame,connector,d-1-0,4,0.0,1236.5,4387.74,2000.0,802.0,100,10,911.37,1835732737,10000.0,10000.0,25.0,1000.0,1,4,0.01,9.1137
102,ELSA,VRGame,connector,d-0,10,0.0,21050.0,2743.51,4000.0,1011.62,100,10,911.37,1835732737,10000.0,10000.0,50.0,1000.0,1,10,0.01,9.1137
4176,MGA,DCNS,object_tracker,cloud,9,177.56,500604.6,56682.68,44800.0,14824.75,300,10,1089.05,633816299,100.0,10000.0,0.0,100.0,0,9,0.5,544.525
2313,CB-E,VRGame,concentration_calculator,d-1-0,8,525.21,4988.5,10026.49,2000.0,1852.65,350,10,3602.37,1145661099,10000.0,10000.0,25.0,500.0,1,12,0.06,216.1422
3278,CB-E,DCNS,object_detector,d-1-0,1,773.08,10127.45,9966.94,2000.0,1841.55,550,10,1841.55,794161987,10000.0,10000.0,25.0,2000.0,1,9,0.5,920.775
2080,CB-E,DCNS,object_tracker,d-0,3,433.51,8244.25,10261.83,4000.0,3792.99,300,10,1083.71,1329531353,10000.0,10000.0,50.0,100.0,1,10,0.5,541.855
2148,CB-E,DCNS,object_tracker,cloud,7,452.21,8359.05,47118.87,44800.0,12446.92,300,10,1069.55,428956419,100.0,10000.0,0.0,100.0,0,11,0.5,534.775
3969,MGA,Translation_Service,storageModule,d-0,6,0.0,18037.25,7974.05,4000.0,2940.45,1000,10,1089.05,633816299,10000.0,10000.0,50.0,1000.0,1,6,0.1,108.905
1225,Edgewards,Translation_Service,processingModule,cloud,10,375.28,166776.25,17470.0,44800.0,4685.44,2500,10,3644.23,1410143363,100.0,10000.0,0.0,500.0,0,10,0.1,364.423
2226,CB-E,Translation_Service,processingModule,d-1-0,4,832.4,2502.5,10552.64,2000.0,1950.68,2500,10,3792.99,1329531353,10000.0,10000.0,25.0,500.0,1,11,0.1,379.299
75,ELSA,DCNS,object_detector,d-0,2,493.73,95374.75,10128.84,4000.0,3743.43,550,10,2139.1,428956419,10000.0,10000.0,50.0,2000.0,1,10,0.5,1069.55
1117,Edgewards,DCNS,object_detector,d-1-0,1,2.41,3124.95,7420.32,2000.0,1367.05,550,10,1822.73,1835732737,10000.0,10000.0,25.0,2000.0,1,1,0.5,911.365
2658,CB-E,DCNS,object_tracker,d-1-0,1,130.6,6948.35,8807.77,2000.0,1625.57,300,10,1083.71,1329531353,10000.0,10000.0,25.0,100.0,1,4,0.5,541.855
2584,CB-E,Translation_Service,storageModule,d-1-0,3,0.0,1149.0,7974.05,2000.0,1470.22,1000,10,1089.05,633816299,10000.0,10000.0,25.0,1000.0,1,3,0.1,108.905
1011,ELSA,Translation_Service,storageModule,d-0,9,0.0,23726.75,10722.72,4000.0,3964.74,1000,10,1071.55,1954324947,10000.0,10000.0,50.0,1000.0,1,9,0.1,107.155
332,ELSA,DCNS,object_tracker,d-0,2,330.77,113071.45,9966.94,4000.0,3683.1,300,10,920.78,794161987,10000.0,10000.0,50.0,100.0,1,12,0.5,460.39
1094,Edgewards,VRGame,connector,d-1-0,1,0.0,135.5,1346.28,2000.0,235.3,100,10,1069.55,428956419,10000.0,10000.0,25.0,1000.0,1,1,0.01,10.6955
3567,MGA,DCNS,object_tracker,cloud,12,177.7,662237.3,73543.97,44800.0,19412.38,300,10,1069.55,428956419,100.0,10000.0,0.0,100.0,0,12,0.5,534.775
437,ELSA,DCNS,object_detector,d-0,2,27.94,21673.65,8360.74,4000.0,3084.55,550,10,2056.37,200496737,10000.0,10000.0,50.0,2000.0,1,2,0.5,1028.185
1201,Edgewards,DCNS,object_tracker,cloud,10,177.6,555601.5,62440.75,44800.0,16391.14,300,10,1083.71,1329531353,100.0,10000.0,0.0,100.0,0,10,0.5,541.855
2638,CB-E,DCNS,object_detector,d-1-0,1,91.62,14427.35,9865.94,2000.0,1822.73,550,10,1822.73,1835732737,10000.0,10000.0,25.0,2000.0,1,4,0.5,911.365
2424,CB-E,Translation_Service,storageModule,d-1-0,4,0.0,2532.0,10582.4,2000.0,1956.23,1000,10,1086.79,1282538739,10000.0,10000.0,25.0,1000.0,1,12,0.1,108.679
2241,CB-E,Translation_Service,storageModule,d-1-0,5,0.0,2738.5,10568.02,2000.0,1953.55,1000,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,11,0.1,102.818
4183,MGA,DCNS,object_tracker,cloud,9,177.55,505388.6,54251.0,44800.0,14173.46,300,10,1041.21,1410143363,100.0,10000.0,0.0,100.0,0,9,0.5,520.605
2342,CB-E,VRGame,concentration_calculator,d-1-0,9,465.98,5733.0,10016.36,2000.0,1850.76,350,10,3222.71,794161987,10000.0,10000.0,25.0,500.0,1,12,0.06,193.3626
842,ELSA,DCNS,object_tracker,cloud,5,80.77,75567.2,23416.76,44800.0,6003.62,300,10,911.37,1835732737,100.0,10000.0,0.0,100.0,0,7,0.5,455.685
2751,CB-E,VRGame,concentration_calculator,d-1-0,5,29.97,1879.0,5519.36,2000.0,1012.85,350,10,3222.71,794161987,10000.0,10000.0,25.0,500.0,1,5,0.06,193.3626
2329,CB-E,VRGame,connector,d-1-0,9,0.0,6588.5,10795.28,2000.0,1995.89,100,10,911.37,1835732737,10000.0,10000.0,25.0,1000.0,1,12,0.01,9.1137
1834,Edgewards,Translation_Service,processingModule,d-0,8,290.31,21962.75,10591.12,4000.0,3901.36,2500,10,3792.99,1329531353,10000.0,10000.0,50.0,500.0,1,8,0.1,379.299
2718,CB-E,DCNS,object_tracker,cloud,1,278.43,10055.25,11432.81,44800.0,2745.85,300,10,1071.55,1954324947,100.0,10000.0,0.0,100.0,0,5,0.5,535.775
1650,Edgewards,DCNS,object_detector,cloud,5,177.55,282187.0,32380.78,44800.0,8218.87,550,10,2173.58,1282538739,100.0,10000.0,0.0,2000.0,0,5,0.5,1086.79
2802,CB-E,VRGame,connector,d-1-0,5,0.0,1819.0,6230.36,2000.0,1145.33,100,10,1041.21,1410143363,10000.0,10000.0,25.0,1000.0,1,5,0.01,10.4121
271,ELSA,Translation_Service,storageModule,d-0,10,0.0,26689.5,10700.86,4000.0,3956.6,1000,10,1041.21,1410143363,10000.0,10000.0,50.0,1000.0,1,11,0.1,104.121
2250,CB-E,DCNS,object_detector,d-1-0,1,838.85,7503.05,8850.78,2000.0,1633.58,550,10,2178.11,633816299,10000.0,10000.0,25.0,2000.0,1,11,0.5,1089.055
428,ELSA,VRGame,connector,d-1-0,2,0.0,371.0,2642.57,2000.0,476.83,100,10,1083.71,1329531353,10000.0,10000.0,25.0,1000.0,1,2,0.01,10.8371
1089,ELSA,Translation_Service,processingModule,cloud,1,439.34,23492.0,3131.03,44800.0,489.06,2500,10,3803.77,1282538739,100.0,10000.0,0.0,500.0,0,9,0.1,380.377
3556,MGA,Translation_Service,processingModule,cloud,11,376.18,184026.25,19193.58,44800.0,5153.99,2500,10,3644.23,1410143363,100.0,10000.0,0.0,500.0,0,11,0.1,364.423
